"IATA","Airport Name","City Name","Country Name","Population"
"MFQ","Maradi","Maradi","Niger",163487
"MGX","Moabi","Moabi","Gabon","Missing[""NotAvailable""]"
"MIU","Maiduguri","Maiduguri","Nigeria",1112449
"MJC","Man","Man","Cote D'Ivoire",139341
"MJL","Mouila","Mouila","Gabon",22469
"MJM","Mbuji-Mayi","Mbuji-Mayi","Congo Democratic Republic of",1213726
"MJM","Mbuji-Mayi","Mbuji-Mayi","Zaire",1213726
"MKB","Mekambo","Mekambo","Gabon",3858
"MKJ","Makoua","Makoua","Congo",11355
"MKU","Makokou","Makokou","Gabon",13571
"MLW","Monrovia Sprigg-Payne Apt","Monrovia","Liberia",1010970
"MLW","Monrovia Spriggs Payne Apt","Monrovia","Liberia",1010970
"MMO","Maio Island","Maio Island","Cape Verde","Missing[""NotAvailable""]"
"MNB","Moanda","Moanda","Congo Democratic Republic of",30151
"MNB","Muanda","Muanda","Congo Democratic Republic of","Missing[""NotAvailable""]"
"MNB","Moanda (ZR)","Moanda (ZR)","Zaire",30151
"MNO","Manono","Manono","Congo Democratic Republic of",47632
"MQQ","Moundou","Moundou","Chad",132411
"MTI","Mosteiros","Mosteiros","Cape Verde",477
"MVB","Franceville","Franceville","Gabon",42967
"MVR","Maroua","Maroua","Cameroon",319941
"MVX","Minvoul","Minvoul","Gabon",2894
"MYB","Mayoumba","Mayoumba","Gabon",3996
"MZC","Mitzic","Mitzic","Gabon",3886
"MZI","Mopti","Mopti","Mali",108456
"NAE","Natitingou","Natitingou","Benin",80892
"NBN","Annobon","Annobon","Equatorial Guinea","Missing[""NotAvailable""]"
"NDB","Nouadhibou","Nouadhibou","Mauritania",80181
"NDJ","Ndjamena","Ndjamena","Chad",993492
"NDJ","N'djamena","N'djamena","Chad",993492
"NGE","Ngaoundere","Ngaoundere","Cameroon",231357
"NIM","Niamey","Niamey","Niger",774235
"NIO","Nioki","Nioki","Congo Democratic Republic of",35900
"NIX","Nioro","Nioro","Mali",72080
"NKC","Nouakchott","Nouakchott","Mauritania",846900
"NKL","Kolo","Kolo","Congo Democratic Republic of",22977
"NKY","Nkayi","Nkayi","Congo",57913
"NKY","N'kayi","N'kayi","Congo",57913
"NLO","Kinshasa N'dolo Apt","Kinshasa","Congo Democratic Republic of",7273947
"NLO","Kinshasa N'dolo Apt","Kinshasa (CD) 00","Congo Democratic Republic of","Missing[""NotAvailable""]"
"NSI","Yaounde Nsimalen Intl Apt","Yaounde","Cameroon",1812169
"NTO","Santo Antao","Santo Antao","Cape Verde","Missing[""NotAvailable""]"
"NYI","Sunyani","Sunyani","Ghana",70299
"NZE","Nzerekore","Nzerekore","Guinea",132728
"ODA","Ouadda","Ouadda","Central African Republic",5434
"OFI","Ouango-Fitini","Ouango-Fitini","Cote D'Ivoire","Missing[""NotAvailable""]"
"OKN","Okondja","Okondja","Gabon",7155
"OLL","Oyo","Oyo","Congo",736072
"OMB","Omboue","Omboue","Gabon",1667
"OUA","Ouagadougou","Ouagadougou","Burkina Faso",1504226
"OUE","Ouesso","Ouesso","Congo",25181
"OUZ","Zouerate","Zouerate","Mauritania",44313
"OXB","Bissau","Bissau","Guinea-Bissau",384960
"OYE","Oyem","Oyem","Gabon",30870
"PCP","Principe Island","Principe Island","Sao Tome and Principe","Missing[""NotAvailable""]"
"PHC","Port Harcourt","Port Harcourt","Nigeria",1148665
"PHG","Port Harcourt","Port Harcourt","Nigeria",1148665
"PHG","Port Harcourt City","Port Harcourt City","Nigeria","Missing[""NotAvailable""]"
"PKO","Parakou","Parakou","Benin",163753
"PNR","Pointe-Noire","Pointe-Noire","Congo","Missing[""NotAvailable""]"
"POD","Podor","Podor","Senegal",9709
"POG","Port Gentil","Port Gentil","Gabon",109163
"QOW","Owerri","Owerri","Nigeria",215038
"QRW","Warri","Warri","Nigeria",536023
"QUO","Uyo","Uyo","Nigeria",124683
"RAI","Praia","Praia","Cape Verde",113364
"RLT","Arlit","Arlit","Niger",83369
"ROB","Monrovia Roberts International Apt","Monrovia","Liberia",1010970
"RUE","Butembo","Butembo","Congo Democratic Republic of",165333
"SEO","Seguela","Seguela","Cote D'Ivoire",51157
"SEY","Selibaby","Selibaby","Mauritania",26458
"SEY","Selibabi","Selibaby","Mauritania",26458
"SFL","Sao Filipe","Sao Filipe","Cape Verde",8189
"SIB","Sibiti","Sibiti","Congo",20096
"SID","Sal Island","Sal Island","Cape Verde","Missing[""NotAvailable""]"
"SKO","Sokoto","Sokoto","Nigeria",563861
"SNE","Sao Nicolau","Sao Nicolau Island","Cape Verde","Missing[""NotAvailable""]"
"SNE","Sao Nicolau Island","Sao Nicolau Island","Cape Verde","Missing[""NotAvailable""]"
"SPY","San Pedro (CI)","San Pedro (CI)","Cote D'Ivoire",196751
"SRH","Sarh","Sarh","Chad",99099
"SRK","Sierra Leone","Sierra Leone","Sierra Leone","Missing[""NotAvailable""]"
"SSG","Malabo","Malabo","Equatorial Guinea",155963
"TCH","Tchibanga","Tchibanga","Gabon",19365
"THZ","Tahoua","Tahoua","Niger",80425
"TIY","Tidjikja","Tidjikja","Mauritania",17172
"TKD","Takoradi","Takoradi","Ghana",232919
"TML","Tamale","Tamale","Ghana",360579
"TMS","Sao Tome","Sao Tome","Sao Tome and Principe","Missing[""NotAvailable""]"
"TOM","Tombouctou","Tombouctou","Mali",32460
"TOZ","Touba","Touba","Cote D'Ivoire",27504
"TSH","Tshikapa","Tshikapa","Congo Democratic Republic of",366503
"TSH","Tshikapa","Tshikapa","Zaire",366503
"TUD","Tambacounda","Tambacounda","Senegal",73620
"VCC","Limbe","Limbe","Cameroon",72106
"VXE","Sao Vicente Island","Sao Vicente Island","Cape Verde","Missing[""NotAvailable""]"
"WZA","Wa","Wa","Ghana",78107
"XLS","Saint Louis","Saint Louis","Senegal","Missing[""NotAvailable""]"
"XLS","St Louis","St Louis (SN)","Senegal","Missing[""NotAvailable""]"
"XSA","Sinoe African Food Corporation Apt","Sinoe","Liberia","Missing[""NotAvailable""]"
"YAO","Yaounde Apt","Yaounde","Cameroon",1812169
"YAO","Yaounde-Ville Apt","Yaounde","Cameroon",1812169
"YOL","Yola","Yola","Nigeria",96006
"ZIG","Ziguinchor","Ziguinchor","Senegal",159778
"ZND","Zinder","Zinder","Niger",191424
"AAH","Aachen-Maastricht Airport","Aachen-Maastricht","Germany","Missing[""NotAvailable""]"
"AAH","Aachen-Maastricht","Aachen-Maastricht","Germany","Missing[""NotAvailable""]"
"AAH","Aachen","Aachen","Germany",258770
"AAL","Aalborg","Aalborg","Denmark",101497
"AAL","Aalborg Airport","Aalborg","Denmark",101497
"AAR","Aarhus","Aarhus","Denmark",228674
"AAR","Aarhus Tirstrup Airport","Aarhus","Denmark",228674
"ABC","Albacete","Albacete","Spain",161508
"ABZ","Aberdeen (GB)","Aberdeen (GB)","United Kingdom",176690
"ACE","Lanzarote","Lanzarote","Spain","Missing[""NotAvailable""]"
"ACH","Altenrhein","Altenrhein","Switzerland","Missing[""NotAvailable""]"
"ACI","Alderney","Alderney","United Kingdom","Missing[""NotAvailable""]"
"ADA","Adana","Adana","Turkey",1609790
"ADA","Adana (TR) 00","Adana (TR) 00","Turkey","Missing[""NotAvailable""]"
"ADB","Izmir Adnan Menderes Apt","Izmir","Turkey",2783866
"ADF","Adiyaman","Adiyaman","Turkey",198433
"ADX","St Andrews","St Andrews","United Kingdom",15200
"AES","Alesund","Alesund","Norway",45033
"AEY","Akureyri","Akureyri","Iceland",16651
"AGB","Munich Augsburg Apt","Munich","Germany",1353186
"AGB","Munich Airport","Munich","Germany",1353186
"AGB","Munich Augsburg Airport","Munich","Germany",1353186
"AGE","Wangerooge","Wangerooge","Germany",1081
"AGF","Agen","Agen","France",33863
"AGH","Helsingborg Angelholm Apt","Helsingborg","Sweden",91457
"AGH","Angelholm/Helsingborg Angelholm Apt","Angelholm/Helsingborg","Sweden","Missing[""NotAvailable""]"
"AGP","Malaga","Malaga","Spain",560631
"AGP","Malaga Airport","Malaga","Spain",560631
"AHO","Alghero","Alghero","Italy",40227
"AJA","Ajaccio","Ajaccio","France",64432
"AJI","Agri","Agri","Turkey",99276
"AJR","Arvidsjaur","Arvidsjaur","Sweden","Missing[""NotAvailable""]"
"ALC","Alicante","Alicante","Spain",322431
"ALC","Alicante Airport","Alicante","Spain",322431
"ALF","Alta","Alta","Norway",19646
"ALL","Albenga","Albenga","Italy",23328
"AMS","Amsterdam","Amsterdam","Netherlands",799345
"ANE","Angers","Angers","France",151108
"ANE","Angers Avrille Airport","Angers","France",151108
"ANE","Angers Marce Airport","Angers","France",151108
"ANG","Angouleme","Angouleme","France",42669
"ANK","Ankara Etimesgut Apt","Ankara","Turkey",4338620
"ANR","Antwerp","Antwerp (BE)","Belgium",461580
"ANR","Antwerp Deurne Airport","Antwerp (BE)","Belgium",461580
"ANR","Antwerp Deurne Airport","Antwerp","Belgium",461580
"ANR","Antwerp","Antwerp","Belgium",461580
"ANR","Brussels North Airport","Brussels","Belgium",1114042
"ANR","Antwerp-Brussels North Airport","Brussels","Belgium",1114042
"ANX","Andenes","Andenes","Norway",2636
"AOC","Altenburg","Altenburg","Germany",37236
"AOE","Eskisehir","Eskisehir","Turkey",570825
"AOE","Eskisehir Anadolu","Eskisehir Anadolu","Turkey","Missing[""NotAvailable""]"
"AOE","Eskisehir (TR) 00","Eskisehir","Turkey",570825
"AOI","Ancona","Ancona","Italy",101853
"AOK","Karpathos","Karpathos","Greece",2243
"AOT","Aosta","Aosta","Italy",34341
"ARN","Stockholm Arlanda Apt","Stockholm","Sweden",829417
"ASR","Kayseri","Kayseri","Turkey",882663
"ATH","Athens (GR)","Athens (GR)","Greece",655780
"ATH","Athens Eleftherios Venizelos Intl Apt","Athens (GR)","Greece",655780
"ATH","Athens","Athens","Greece",655780
"AUR","Aurillac","Aurillac","France",35411
"AVB","Aviano","Aviano","Italy",8735
"AVN","Avignon","Avignon","France",89400
"AVN","Avignon Caumont Airport","Avignon","France",89400
"AXD","Alexandroupolis","Alexandroupolis","Greece",52979
"AYT","Antalya","Antalya","Turkey",885486
"BAL","Batman","Batman","Turkey",293024
"BBP","Bembridge","Bembridge","United Kingdom",3570
"BCN","Barcelona (ES)","Barcelona (ES)","Spain",1619337
"BCN","Barcelona Apt","Barcelona (ES)","Spain",1619337
"BDM","Bandirma","Bandirma","Turkey",110248
"BDS","Brindisi","Brindisi","Italy",87987
"BDU","Bardufoss","Bardufoss","Norway","Missing[""NotAvailable""]"
"BEB","Benbecula","Benbecula","United Kingdom","Missing[""NotAvailable""]"
"BEQ","Bury St Edmunds","Bury St Edmunds","United Kingdom","Missing[""NotAvailable""]"
"BER","Berlin Brandenburg Apt","Berlin","Germany",3442675
"BER","Berlin Brandenburg Apt","Berlin (DE)","Germany",3442675
"BES","Brest","Brest","France",146000
"BES","Brest (FR)","Brest (FR)","France",146000
"BEX","Benson","Benson","United Kingdom",5691
"BFE","Bielefeld","Bielefeld","Germany",325846
"BFS","Belfast International Apt","Belfast","United Kingdom",281000
"BGC","Braganca","Braganca","Portugal",21468
"BGG","Bingol","Bingol","Turkey",89224
"BGJ","Borgarfjordur Eystri","Borgarfjordur Eystri","Iceland","Missing[""NotAvailable""]"
"BGJ","Borgarfjordur eystri","Borgarfjordur Eystri","Iceland","Missing[""NotAvailable""]"
"BGO","Bergen","Bergen","Norway",267950
"BGY","Milan Bergamo/orio al Serio Apt","Milan","Italy",1307495
"BHD","Belfast City Apt","Belfast","United Kingdom",281000
"BHD","Belfast George Best City Apt","Belfast","United Kingdom",281000
"BHX","Birmingham (GB)","Birmingham (GB)","United Kingdom",1073045
"BHX","Birmingham Airport","Birmingham (GB)","United Kingdom",1073045
"BIA","Bastia","Bastia","France",43315
"BIO","Bilbao","Bilbao","Spain",354145
"BIQ","Biarritz","Biarritz","France",26828
"BIU","Bildudalur","Bildudalur","Iceland",204
"BJD","Bakkafjordur","Bakkafjordur","Iceland","Missing[""NotAvailable""]"
"BJF","Batsfjord","Batsfjord","Norway",2099
"BJV","Bodrum","Bodrum","Turkey",31590
"BJV","Bodrum Milas Airport","Bodrum","Turkey",31590
"BJZ","Badajoz","Badajoz","Spain",143748
"BLE","Borlange","Borlange","Sweden",39422
"BLE","Borlange/Falun","Borlange/Falun","Sweden","Missing[""NotAvailable""]"
"BLK","Blackpool","Blackpool","United Kingdom",143101
"BLL","Billund","Billund","Denmark",6020
"BLQ","Bologna","Bologna","Italy",374624
"BLQ","Bologna Guglielmo Marconi","Bologna","Italy",374624
"BMA","Stockholm Bromma Apt","Stockholm","Sweden",829417
"BMK","Borkum","Borkum","Germany",5438
"BMR","Baltrum","Baltrum","Germany",479
"BNJ","Bonn","Bonn","Germany",314299
"BNN","Bronnoysund","Bronnoysund","Norway",4464
"BOD","Bordeaux","Bordeaux","France",239157
"BOD","Bordeaux Merignac Apt","Bordeaux","France",239157
"BOH","Bournemouth","Bournemouth","United Kingdom",175017
"BOO","Bodo","Bodo","Norway",49203
"BOU","Bourges","Bourges","France",69000
"BPR","Bristol (GB) 00","Bristol (GB) 00","United Kingdom","Missing[""NotAvailable""]"
"BQH","Biggin Hill","Biggin Hill","United Kingdom",13535
"BQH","London Biggin Hill","London Biggin Hill","United Kingdom","Missing[""NotAvailable""]"
"BQH","London Biggin Hill Apt","London (GB)","United Kingdom",8173941
"BRE","Bremen","Bremen","Germany",547934
"BRF","Bradford (GB)","Bradford (GB)","United Kingdom",522452
"BRI","Bari","Bari","Italy",313713
"BRN","Berne Belp","Berne","Switzerland",124381
"BRR","Barra","Barra","United Kingdom","Missing[""NotAvailable""]"
"BRS","Bristol","Bristol","United Kingdom",430713
"BRS","Bristol (GB) 00","Bristol (GB) 00","United Kingdom","Missing[""NotAvailable""]"
"BRU","Brussels","Brussels","Belgium",1114042
"BRU","Brussels National Airport","Brussels","Belgium",1114042
"BRU","Brussels Airport","Brussels","Belgium",1114042
"BRV","Bremerhaven","Bremerhaven","Germany",116045
"BSH","Brighton","Brighton","United Kingdom",155919
"BSL","Basel","Basel","Switzerland",163216
"BSL","Euroairport Basel","Euroairport","Switzerland","Missing[""NotAvailable""]"
"BSL","Basel","Basel/Mulhouse","Switzerland","Missing[""NotAvailable""]"
"BTZ","Bursa","Bursa","Turkey",1704441
"BVA","Beauvais","Beauvais","France",53800
"BVA","Paris Tille Airport","Paris","France",2233818
"BVA","Paris Beauvais-Tille Airport","Paris","France",2233818
"BVA","Paris Beauvais-Tille Airport","Paris (FR)","France",2233818
"BVE","Brive-La-Gaillarde","Brive-La-Gaillarde","France",50231
"BVG","Berlevag","Berlevag","Norway",1040
"BWE","Braunschweig","Braunschweig","Germany",245467
"BWE","Braunschweig/Wolfsburg","Braunschweig/Wolfsburg","Germany","Missing[""NotAvailable""]"
"BWF","Barrow-in-Furness","Barrow-in-Furness","United Kingdom",45865
"BXN","Bodrum","Bodrum","Turkey",31590
"BXN","Bodrum (TR) 00","Bodrum","Turkey",31590
"BXN","Bodrum Imsik Airport","Bodrum","Turkey",31590
"BXO","Buochs","Buochs","Switzerland",5323
"BXV","Breiddalsvik","Breiddalsvik","Iceland","Missing[""NotAvailable""]"
"BYF","Meaulte","Meaulte","France",1287
"BYF","Albert","Albert","France",10588
"BYJ","Beja","Beja","Portugal",23906
